"pathway","vanilla_raw_p","genept_raw_p","embedding_rank","projected_rank","vanilla_adjusted_p","vanilla_qval","genept_adjusted_p","genept_qval","vanilla_rank","genept_rank","rank_delta","l2_raw_p","l2_adjusted_p","l2_qval","l2_rank"
"REACTOME_METABOLISM_OF_POLYAMINES",0.0731481276708723,0.00059618767048381,58,57,1,0,0.0733310834695086,1.06522856619588,95,10,-85,0.230392335941705,1,0,91
"REACTOME_METABOLISM_OF_PORPHYRINS",0.999905146038811,0.993445062647761,18,17,1,0,1,0,96,91,-5,1,1,0,92
"REACTOME_METABOLISM_OF_STEROID_HORMONES",0.0513887607461245,0.101341801629482,21,17,1,0,1,0,97,92,-5,1,1,0,93
"REACTOME_METABOLISM_OF_STEROIDS",0.0351222601892017,0.136726085875245,112,103,1,0,1,0,98,93,-5,0.00946978291842922,1,0,94
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",0.420283707542506,0.0351222601892017,145,135,1,0,1,0,99,94,-5,0.179741341532766,1,0,95
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS",0.136726085875245,0.0233436169134307,101,97,1,0,1,0,100,95,-5,0.101341801629482,1,0,96
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION",0.00946978291842922,0.0233436169134307,30,29,1,0,1,0,101,96,-5,0.696379525408901,1,0,97
"REACTOME_NICOTINATE_METABOLISM",0.0513887607461245,0.0731481276708723,24,23,1,0,1,0,102,97,-5,0.999809962501969,1,0,98
"REACTOME_NUCLEOBASE_CATABOLISM",0.00577645522630862,0.0010996776918826,27,26,0.71050399283596,0.385270654364906,0.13526035610156,0.932110226066041,29,11,-18,0.562150599897062,1,0,99
"REACTOME_PEPTIDE_HORMONE_METABOLISM",0.0010996776918826,0.288162930520753,37,35,0.13526035610156,0.932110226066041,1,0,16,98,82,1.77726970010602e-05,0.0021860417311304,1.63105534906276,1
"REACTOME_PEROXISOMAL_LIPID_METABOLISM",0.0150822934297104,0.0351222601892017,26,24,1,0,1,0,103,99,-4,0.999999993977795,1,0,100
"REACTOME_PHOSPHOLIPID_METABOLISM",0.0233436169134307,0.0150822934297104,166,158,1,0,1,0,104,100,-4,0.0351222601892017,1,0,101
"REACTOME_PI_METABOLISM",0.00946978291842922,0.101341801629482,73,71,1,0,1,0,105,101,-4,0.230392335941705,1,0,102
"REACTOME_PYRUVATE_METABOLISM",0.00946978291842922,0.288162930520753,26,26,1,0,1,0,106,102,-4,0.00577645522630862,0.71050399283596,0.385270654364906,16
"REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE",0.136726085875245,0.101341801629482,50,50,1,0,1,0,107,103,-4,0.0731481276708723,1,0,103
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",0.0150822934297104,0.101341801629482,54,53,1,0,1,0,108,104,-4,0.0351222601892017,1,0,104
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",0.288162930520753,0.0010996776918826,96,94,1,0,0.13526035610156,0.932110226066041,109,12,-97,0.0233436169134307,1,0,105
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",0.00577645522630862,0.136726085875245,90,90,0.71050399283596,0.385270654364906,1,0,30,105,75,0.0233436169134307,1,0,106
"REACTOME_SIALIC_ACID_METABOLISM",0.288162930520753,0.288162930520753,23,23,1,0,1,0,110,106,-4,0.999990170518365,1,0,107
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.420283707542506,0.136726085875245,35,29,1,0,1,0,111,107,-4,0.179741341532766,1,0,108
"REACTOME_SPHINGOLIPID_METABOLISM",0.136726085875245,0.562150599897062,71,62,1,0,1,0,112,108,-4,0.0513887607461245,1,0,109
