lineage,pathway,method,significant_0h_vs_12h,significant_12h_vs_24h,significant_0h_vs_24h,descriptive_timing_pattern
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,l2,False,False,False,none
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,vanilla,True,False,True,early
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,genept,False,False,True,endpoint_only
CD4,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS,l2,False,False,False,none
CD4,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_DISEASES_OF_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_DISEASES_OF_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_DISEASES_OF_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_FATTY_ACID_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_FATTY_ACID_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_FATTY_ACID_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,vanilla,False,False,True,endpoint_only
CD4,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,genept,False,False,False,none
CD4,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,l2,False,False,False,none
CD4,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,vanilla,True,False,True,early
CD4,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,genept,True,False,True,early
CD4,REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,l2,False,False,True,endpoint_only
CD4,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,vanilla,True,True,True,persistent
CD4,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,genept,True,True,True,persistent
CD4,REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION,l2,True,False,True,early
CD4,REACTOME_GLUCONEOGENESIS,vanilla,True,True,True,persistent
CD4,REACTOME_GLUCONEOGENESIS,genept,True,True,True,persistent
CD4,REACTOME_GLUCONEOGENESIS,l2,True,True,True,persistent
CD4,REACTOME_GLUCOSE_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_GLUCOSE_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_GLUCOSE_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,vanilla,True,False,True,early
CD4,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,genept,True,True,True,persistent
CD4,REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS,l2,True,True,True,persistent
CD4,REACTOME_GLYCOGEN_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_GLYCOGEN_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_GLYCOGEN_METABOLISM,l2,True,False,True,early
CD4,REACTOME_GLYCOLYSIS,vanilla,True,True,True,persistent
CD4,REACTOME_GLYCOLYSIS,genept,True,True,True,persistent
CD4,REACTOME_GLYCOLYSIS,l2,True,True,True,persistent
CD4,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,genept,True,False,True,early
CD4,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,l2,True,False,True,early
CD4,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_GLYCOSPHINGOLIPID_METABOLISM,l2,False,False,False,none
CD4,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,vanilla,True,False,True,early
CD4,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,genept,False,False,True,endpoint_only
CD4,REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION,l2,False,False,True,endpoint_only
CD4,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,genept,True,False,True,early
CD4,REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,l2,False,False,False,none
CD4,REACTOME_HS_GAG_BIOSYNTHESIS,vanilla,False,False,False,none
CD4,REACTOME_HS_GAG_BIOSYNTHESIS,genept,False,False,False,none
CD4,REACTOME_HS_GAG_BIOSYNTHESIS,l2,False,False,False,none
CD4,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,genept,False,False,True,endpoint_only
CD4,REACTOME_INOSITOL_PHOSPHATE_METABOLISM,l2,True,False,True,early
CD4,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,vanilla,True,True,True,persistent
CD4,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,genept,True,True,True,persistent
CD4,REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,l2,True,True,True,persistent
CD4,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,vanilla,False,False,False,none
CD4,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,genept,False,False,False,none
CD4,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,l2,False,False,False,none
CD4,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,vanilla,False,False,True,endpoint_only
CD4,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,genept,False,False,False,none
CD4,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,l2,False,False,False,none
CD4,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,vanilla,False,False,True,endpoint_only
CD4,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,genept,False,False,True,endpoint_only
CD4,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,l2,False,False,False,none
CD4,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_CARBOHYDRATES,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_CARBOHYDRATES,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_CARBOHYDRATES,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_COFACTORS,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_COFACTORS,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_COFACTORS,l2,True,False,True,early
CD4,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,vanilla,False,False,True,endpoint_only
CD4,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,genept,False,False,False,none
CD4,REACTOME_METABOLISM_OF_FAT_SOLUBLE_VITAMINS,l2,False,False,False,none
CD4,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,vanilla,True,False,True,early
CD4,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,genept,True,False,True,early
CD4,REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES,l2,False,False,True,endpoint_only
CD4,REACTOME_METABOLISM_OF_NUCLEOTIDES,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_NUCLEOTIDES,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_NUCLEOTIDES,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_POLYAMINES,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_POLYAMINES,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_POLYAMINES,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_PORPHYRINS,vanilla,False,False,True,endpoint_only
CD4,REACTOME_METABOLISM_OF_PORPHYRINS,genept,False,False,True,endpoint_only
CD4,REACTOME_METABOLISM_OF_PORPHYRINS,l2,False,False,False,none
CD4,REACTOME_METABOLISM_OF_STEROIDS,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_STEROIDS,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_STEROIDS,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_STEROID_HORMONES,vanilla,True,False,True,early
CD4,REACTOME_METABOLISM_OF_STEROID_HORMONES,genept,False,False,True,endpoint_only
CD4,REACTOME_METABOLISM_OF_STEROID_HORMONES,l2,False,False,False,none
CD4,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,l2,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,vanilla,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,genept,True,True,True,persistent
CD4,REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS,l2,True,False,True,early
CD4,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,vanilla,True,True,True,persistent
CD4,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,genept,True,True,True,persistent
CD4,REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,l2,True,True,True,persistent
CD4,REACTOME_NICOTINATE_METABOLISM,vanilla,True,False,True,early
CD4,REACTOME_NICOTINATE_METABOLISM,genept,True,False,True,early
CD4,REACTOME_NICOTINATE_METABOLISM,l2,True,False,True,early
CD4,REACTOME_NUCLEOBASE_CATABOLISM,vanilla,True,True,True,persistent
