dataset_index,dataset_gene,match_type,embedding_key
9634,ITPR2,exact,ITPR2
9635,INTS13,exact,INTS13
9636,FGFR1OP2,exact,FGFR1OP2
9637,AC024896.1,unmatched,
9638,TM7SF3,exact,TM7SF3
9639,MED21,exact,MED21
9640,AC092747.4,unmatched,
9641,C12orf71,exact,C12orf71
9642,STK38L,exact,STK38L
9643,ARNTL2,official_alias,ARNTL2
9644,PPFIBP1,exact,PPFIBP1
9645,REP15,exact,REP15
9646,MRPS35,exact,MRPS35
9647,MANSC4,exact,MANSC4
9648,KLHL42,exact,KLHL42
9649,CCDC91,exact,CCDC91
9650,AC022364.1,unmatched,
9651,AC022079.2,unmatched,
9652,FAR2,exact,FAR2
9653,AC009318.4,unmatched,
9654,AC009318.1,unmatched,
9655,AC009318.3,unmatched,
9656,AC009318.2,unmatched,
9657,ERGIC2,exact,ERGIC2
9658,OVCH1-AS1,exact,OVCH1-AS1
9659,IPO8,exact,IPO8
9660,CAPRIN2,exact,CAPRIN2
9661,DDX11-AS1,exact,DDX11-AS1
9662,DDX11,exact,DDX11
9663,SINHCAF,exact,SINHCAF
9664,AC024940.1,unmatched,
9665,ETFBKMT,exact,ETFBKMT
9666,AMN1,exact,AMN1
9667,AC023157.3,unmatched,
9668,H3F3C,official_alias,H3F3C
9669,KIAA1551,official_alias,KIAA1551
9670,AC016957.2,unmatched,
9671,BICD1,exact,BICD1
9672,DNM1L,exact,DNM1L
9673,AC084824.5,unmatched,
9674,YARS2,exact,YARS2
9675,ALG10,exact,ALG10
9676,ALG10B,exact,ALG10B
9677,CPNE8,exact,CPNE8
9678,KIF21A,exact,KIF21A
9679,ABCD2,exact,ABCD2
9680,SLC2A13,exact,SLC2A13
9681,GXYLT1,exact,GXYLT1
9682,YAF2,exact,YAF2
9683,PPHLN1,exact,PPHLN1
9684,ZCRB1,exact,ZCRB1
9685,PUS7L,exact,PUS7L
9686,IRAK4,exact,IRAK4
9687,TWF1,exact,TWF1
9688,TMEM117,exact,TMEM117
9689,NELL2,exact,NELL2
9690,ANO6,exact,ANO6
9691,AC008124.1,unmatched,
9692,ARID2,exact,ARID2
9693,SCAF11,exact,SCAF11
9694,SLC38A1,exact,SLC38A1
9695,SLC38A2,exact,SLC38A2
9696,AC008014.1,unmatched,
9697,AC025031.4,unmatched,
9698,AC008035.1,unmatched,
9699,AMIGO2,exact,AMIGO2
9700,PCED1B,exact,PCED1B
9701,AC008083.1,unmatched,
9702,AC008083.2,unmatched,
9703,AC008083.3,unmatched,
9704,RPAP3,exact,RPAP3
9705,AC004241.1,unmatched,
9706,ENDOU,exact,ENDOU
9707,RAPGEF3,exact,RAPGEF3
9708,SLC48A1,exact,SLC48A1
9709,HDAC7,exact,HDAC7
9710,AC004466.1,unmatched,
9711,VDR,exact,VDR
9712,AC121338.1,unmatched,
9713,AC121338.2,unmatched,
9714,TMEM106C,exact,TMEM106C
9715,AC004801.6,unmatched,
9716,SENP1,exact,SENP1
9717,PFKM,exact,PFKM
9718,ASB8,exact,ASB8
9719,AC074029.3,unmatched,
9720,AC024257.3,unmatched,
9721,OR10AD1,exact,OR10AD1
9722,AC024257.5,unmatched,
9723,ZNF641,exact,ZNF641
9724,AC024257.4,unmatched,
9725,KANSL2,exact,KANSL2
