target_index,comparison,group_a,group_b,pathway,detection_state,n_paired_genes,control,replicate_id,seed,mapping_changed_fraction,vector_multiset_preserved,norm_max_difference,raw_p,adjusted_p,qval,score,significant
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,66.0,20261878.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,67.0,20261879.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,68.0,20261880.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,69.0,20261881.0,1.0,True,0.0,3.52341775794401e-06,0.000433380384227113,1.83388406114409,5.45303586115776,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,70.0,20261882.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,71.0,20261883.0,0.941176470588235,True,0.0,0.000313688994347936,0.0385837463047961,1.18894726823464,3.503500718082,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,72.0,20261884.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,73.0,20261885.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,74.0,20261886.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,75.0,20261887.0,0.941176470588235,True,0.0,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,False
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,76.0,20261888.0,0.941176470588235,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,77.0,20261889.0,0.941176470588235,True,0.0,1.77726970010602e-05,0.0021860417311304,1.63105534906276,4.75024666314563,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,78.0,20261890.0,1.0,True,0.0,3.81265104892234e-05,0.00468956079017448,1.52606285259303,4.41877294150378,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,79.0,20261891.0,0.941176470588235,True,0.0,8.03548663493119e-06,0.000988364856096536,1.73351743731473,5.09498781691362,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,80.0,20261892.0,0.941176470588235,True,0.0,7.93371655046569e-05,0.0097584713570728,1.417962696362,4.1005233197136,True
1.0,cd4_0h_vs_12h,cd4_0h,cd4_12h,KEGG_NITROGEN_METABOLISM,GenePT-only significant,17.0,permuted,81.0,20261893.0,0.941176470588235,True,0.0,0.00196887460329715,0.242171576205549,0.784778205325666,2.70578194299357,False
